Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount
264,2024-01-31,17160,20540,2024-02-07,860.0
264,2024-01-31,17160,20540,2024-02-14,860.0
264,2024-01-31,17160,20540,2024-02-21,860.0
264,2024-01-31,17160,20540,2024-02-28,860.0
264,2024-01-31,17160,20540,2024-03-06,860.0
264,2024-01-31,17160,20540,2024-03-13,860.0
264,2024-01-31,17160,20540,2024-03-20,860.0
264,2024-01-31,17160,20540,2024-03-27,860.0
264,2024-01-31,17160,20540,2024-04-03,860.0
264,2024-01-31,17160,20540,2024-04-10,9000.0
324,2024-01-29,20000,23645,2024-02-05,986.0
324,2024-01-29,20000,23645,2024-02-12,986.0
324,2024-01-29,20000,23645,2024-02-19,986.0
324,2024-01-29,20000,23645,2024-02-26,986.0
324,2024-01-29,20000,23645,2024-03-04,986.0
324,2024-01-29,20000,23645,2024-03-11,986.0
324,2024-01-29,20000,23645,2024-03-18,986.0
324,2024-01-29,20000,23645,2024-03-25,986.0
324,2024-01-29,20000,23645,2024-04-01,986.0
324,2024-01-29,20000,23645,2024-04-08,986.0
324,2024-01-29,20000,23645,2024-04-15,986.0
324,2024-01-29,20000,23645,2024-04-22,986.0
324,2024-01-29,20000,23645,2024-04-29,986.0
324,2024-01-29,20000,23645,2024-05-06,986.0
324,2024-01-29,20000,23645,2024-05-13,986.0
324,2024-01-29,20000,23645,2024-05-20,986.0
324,2024-01-29,20000,23645,2024-05-27,986.0
324,2024-01-29,20000,23645,2024-06-03,986.0
324,2024-01-29,20000,23645,2024-06-10,986.0
324,2024-01-29,20000,23645,2024-06-17,986.0
324,2024-01-29,20000,23645,2024-06-24,985.0
324,2024-01-29,20000,23645,2024-07-01,985.0
324,2024-01-29,20000,23645,2024-07-08,985.0
324,2024-01-29,20000,23645,2024-10-28,970.0
336,2024-01-29,27500,32720,2024-02-05,2045.0
336,2024-01-29,27500,32720,2024-02-12,2045.0
336,2024-01-29,27500,32720,2024-02-19,2045.0
336,2024-01-29,27500,32720,2024-02-26,2045.0
336,2024-01-29,27500,32720,2024-03-04,2045.0
336,2024-01-29,27500,32720,2024-03-11,2045.0
336,2024-01-29,27500,32720,2024-03-18,2045.0
336,2024-01-29,27500,32720,2024-03-25,2045.0
336,2024-01-29,27500,32720,2024-04-01,2045.0
336,2024-01-29,27500,32720,2024-04-08,2045.0
336,2024-01-29,27500,32720,2024-04-15,12270.0
567,2024-01-31,17160,20540,2024-02-07,860.0
567,2024-01-31,17160,20540,2024-02-14,860.0
567,2024-01-31,17160,20540,2024-02-21,860.0
567,2024-01-31,17160,20540,2024-02-28,860.0
567,2024-01-31,17160,20540,2024-03-06,860.0
567,2024-01-31,17160,20540,2024-03-13,860.0
567,2024-01-31,17160,20540,2024-03-20,860.0
567,2024-01-31,17160,20540,2024-03-27,860.0
567,2024-01-31,17160,20540,2024-04-03,860.0
567,2024-01-31,17160,20540,2024-04-10,860.0
567,2024-01-31,17160,20540,2024-04-17,860.0
567,2024-01-31,17160,20540,2024-04-24,860.0
567,2024-01-31,17160,20540,2024-05-01,860.0
567,2024-01-31,17160,20540,2024-05-08,860.0
567,2024-01-31,17160,20540,2024-05-15,860.0
567,2024-01-31,17160,20540,2024-05-22,860.0
567,2024-01-31,17160,20540,2024-05-29,860.0
567,2024-01-31,17160,20540,2024-06-05,860.0
567,2024-01-31,17160,20540,2024-06-12,860.0
567,2024-01-31,17160,20540,2024-06-19,860.0
567,2024-01-31,17160,20540,2024-06-26,860.0
567,2024-01-31,17160,20540,2024-07-03,860.0
567,2024-01-31,17160,20540,2024-07-10,860.0
567,2024-01-31,17160,20540,2024-07-17,760.0
722,2024-02-17,16100,21390,2024-02-24,892.0
722,2024-02-17,16100,21390,2024-03-02,892.0
722,2024-02-17,16100,21390,2024-03-09,892.0
722,2024-02-17,16100,21390,2024-03-16,892.0
722,2024-02-17,16100,21390,2024-03-23,892.0
722,2024-02-17,16100,21390,2024-03-30,892.0
722,2024-02-17,16100,21390,2024-04-06,892.0
722,2024-02-17,16100,21390,2024-04-13,500.0
722,2024-02-17,16100,21390,2024-04-20,1285.0
722,2024-02-17,16100,21390,2024-04-27,892.0
722,2024-02-17,16100,21390,2024-05-04,892.0
722,2024-02-17,16100,21390,2024-05-11,500.0
722,2024-02-17,16100,21390,2024-05-18,0.0
722,2024-02-17,16100,21390,2024-05-25,0.0
722,2024-02-17,16100,21390,2024-06-01,0.0
722,2024-02-17,16100,21390,2024-06-08,2560.0
722,2024-02-17,16100,21390,2024-06-15,1000.0
722,2024-02-17,16100,21390,2024-06-22,0.0
722,2024-02-17,16100,21390,2024-06-29,1500.0
722,2024-02-17,16100,21390,2024-07-06,0.0
722,2024-02-17,16100,21390,2024-07-13,0.0
722,2024-02-17,16100,21390,2024-07-20,0.0
722,2024-02-17,16100,21390,2024-07-27,0.0
722,2024-02-17,16100,21390,2024-08-03,6017.0
723,2024-01-28,11050,13260,2024-02-04,610.0
723,2024-01-28,11050,13260,2024-02-11,610.0
