Cohort,MOB,Period Collection,Cohort Total Advance,Payment MOIC,Cumulative Collection,Cumulative MOIC
2024-01,1,23498.0,102945,0.2282578075671475,23498.0,0.2282578075671475
2024-01,2,24097.0,102945,0.2340764485890524,47595.0,0.4623342561561999
2024-01,3,39580.0,102945,0.384477147991646,87175.0,0.846811404147846
2024-01,4,12689.0,102945,0.12325999320025256,99864.0,0.9700713973480986
2024-01,5,11843.0,102945,0.11504201272524163,111707.0,1.0851134100733402
2024-01,6,4950.0,102945,0.048083928311234155,116657.0,1.1331973383845744
2024-01,9,2493.0,102945,0.024216814804021564,119150.0,1.1574141531885958
2024-02,0,7520.0,136095,0.055255520041147727,7520.0,0.055255520041147727
2024-02,1,31246.0,136095,0.22958962489437526,38766.0,0.284845144935523
2024-02,2,35183.0,136095,0.2585179470223006,73949.0,0.5433630919578236
2024-02,3,28064.0,136095,0.20620889819611302,102013.0,0.7495719901539366
2024-02,4,32951.0,136095,0.24211763841434292,134964.0,0.9916896285682795
2024-02,5,28595.0,136095,0.21011058451816747,163559.0,1.201800213086447
2024-02,6,13982.0,136095,0.102737058672251,177541.0,1.304537271758698
2024-02,8,3533.0,136095,0.02595980748741688,181074.0,1.3304970792461148
2024-03,0,77398.0,795665,0.09727460677546455,77398.0,0.09727460677546455
2024-03,1,183336.0,795665,0.23041858068408186,260734.0,0.3276931874595464
2024-03,2,182006.0,795665,0.22874702293050467,442740.0,0.5564402103900511
2024-03,3,176554.0,795665,0.2218948929511792,619294.0,0.7783351033412302
2024-03,4,158090.0,795665,0.1986891468143,777384.0,0.9770242501555303
2024-03,5,151154.0,795665,0.18997191028887786,928538.0,1.1669961604444081
2024-03,6,34894.0,795665,0.04385514004009225,963432.0,1.2108513004845003
2024-03,7,40052.0,795665,0.05033776777915329,1003484.0,1.2611890682636537
2024-03,8,11887.0,795665,0.014939704523888823,1015371.0,1.2761287727875426
2024-03,9,5481.0,795665,0.006888577479215499,1020852.0,1.283017350266758
2024-03,10,3100.0,795665,0.003896112057210007,1023952.0,1.286913462323968
2024-03,11,3370.0,795665,0.004235450849289588,1027322.0,1.2911489131732576
2024-03,12,2900.0,795665,0.0036447499890029096,1030222.0,1.2947936631622605
2024-04,0,36941.0,368935,0.10012874896662013,36941.0,0.10012874896662013
2024-04,1,94789.0,368935,0.25692601677802324,131730.0,0.35705476574464334
2024-04,2,80769.0,368935,0.21892474284087984,212499.0,0.5759795085855232
2024-04,3,82634.0,368935,0.22397983384607045,295133.0,0.7999593424315936
2024-04,4,84827.0,368935,0.22992397034708012,379960.0,1.0298833127786737
2024-04,5,65321.0,368935,0.17705286839145107,445281.0,1.206936181170125
2024-04,6,25483.0,368935,0.06907178771328283,470764.0,1.2760079688834076
2024-04,7,13431.0,368935,0.03640478675105371,484195.0,1.3124127556344614
2024-04,8,6075.0,368935,0.01646631520457533,490270.0,1.3288790708390368
2024-04,11,16000.0,368935,0.043368072966782766,506270.0,1.3722471438058195
2024-05,0,18580.0,224805,0.08264940726407331,18580.0,0.08264940726407331
2024-05,1,52869.0,224805,0.23517715353306198,71449.0,0.3178265607971353
2024-05,2,50562.0,224805,0.22491492626943352,122011.0,0.5427414870665688
2024-05,3,44729.0,224805,0.19896799448410846,166740.0,0.7417094815506773
2024-05,4,46774.0,224805,0.20806476724272147,213514.0,0.9497742487933988
2024-05,5,54926.0,224805,0.24432730588732457,268440.0,1.1941015546807232
2024-05,6,21020.0,224805,0.09350325837948444,289460.0,1.2876048130602078
2024-05,7,2005.0,224805,0.008918840773114478,291465.0,1.2965236538333222
2024-05,8,850.0,224805,0.003781054691844043,292315.0,1.3003047085251662
2024-05,9,1185.0,224805,0.005271235070394341,293500.0,1.3055759435955605
2024-06,0,60656.0,447855,0.1354366926795503,60656.0,0.1354366926795503
2024-06,1,97987.0,447855,0.21879179645197663,158643.0,0.35422848913152694
2024-06,2,105503.0,447855,0.23557401391075236,264146.0,0.5898025030422793
2024-06,3,86995.0,447855,0.19424813834834936,351141.0,0.7840506413906286
2024-06,4,84235.0,447855,0.1880854294358665,435376.0,0.9721360708264952
2024-06,5,62151.0,447855,0.13877482667381183,497527.0,1.110910897500307
2024-06,6,40734.0,447855,0.09095354523227384,538261.0,1.2018644427325809
2024-06,7,17167.0,447855,0.038331602862533634,555428.0,1.2401960455951144
2024-06,8,4650.0,447855,0.010382824798204775,560078.0,1.2505788703933192
2024-06,9,3000.0,447855,0.006698596644003081,563078.0,1.2572774670373223
2024-06,10,4880.0,447855,0.010896383874245012,567958.0,1.2681738509115674
2024-06,13,1000.0,447855,0.002232865548001027,568958.0,1.2704067164595685
2024-06,14,2500.0,447855,0.005582163870002568,571458.0,1.275988880329571
2024-06,15,700.0,447855,0.001563005883600719,572158.0,1.2775518862131716
2024-06,17,2000.0,447855,0.004465731096002054,574158.0,1.2820176173091737
2024-06,18,2000.0,447855,0.004465731096002054,576158.0,1.2864833484051759
2024-06,19,2907.0,447855,0.006490940148038986,579065.0,1.2929742885532147
2024-06,20,2713.0,447855,0.006057764231726786,581778.0,1.2990320527849415
2024-06,21,1800.0,447855,0.004019157986401849,583578.0,1.3030512107713434
2024-07,0,40285.0,286900,0.1404147786685256,40285.0,0.1404147786685256
2024-07,1,67870.0,286900,0.23656326246078774,108155.0,0.3769780411293133
2024-07,2,66223.0,286900,0.23082258626699198,174378.0,0.6078006273963054
2024-07,3,66568.0,286900,0.23202509585221331,240946.0,0.8398257232485187
2024-07,4,55093.0,286900,0.19202858138724294,296039.0,1.0318543046357616
2024-07,5,64376.0,286900,0.22438480306727082,360415.0,1.2562391077030324
2024-07,6,3749.0,286900,0.013067270826071802,364164.0,1.269306378529104
2024-07,7,13050.0,286900,0.04548623213663297,377214.0,1.3147926106657373
2024-07,9,3974.0,286900,0.013851516207737887,381188.0,1.328644126873475
2024-08,0,14793.0,325990,0.04537869259793245,14793.0,0.04537869259793245
2024-08,1,79258.0,325990,0.2431301573667904,94051.0,0.28850884996472287
2024-08,2,82133.0,325990,0.2519494463020338,176184.0,0.5404582962667567
2024-08,3,71751.0,325990,0.2201018436148348,247935.0,0.7605601398815914
2024-08,4,71269.0,325990,0.218623270652474,319204.0,0.9791834105340654
2024-08,5,70946.0,325990,0.21763244271296667,390150.0,1.196815853247032
2024-08,6,33897.0,325990,0.1039817172305899,424047.0,1.300797570477622
2024-08,7,5400.0,325990,0.016564925304457193,429447.0,1.3173624957820793
2024-08,8,1970.0,325990,0.0060431301573667905,431417.0,1.323405625939446
2024-08,9,1750.0,325990,0.005368262830148164,433167.0,1.3287738887695941
2024-08,13,2450.0,325990,0.00751556796220743,435617.0,1.3362894567318016
2024-08,14,6000.0,325990,0.01840547256050799,441617.0,1.3546949292923096
2024-08,15,1000.0,325990,0.003067578760084665,442617.0,1.3577625080523943
2024-08,16,3000.0,325990,0.009202736280253995,445617.0,1.3669652443326483
2024-09,0,31950.0,408306,0.07825013592746617,31950.0,0.07825013592746617
2024-09,1,97591.0,408306,0.23901436667597342,129541.0,0.3172645026034396
