Cohort,Asset Count,Cohort Total Advance,Total Collection,Final MOIC
2024-01,6,102945,119150.0,1.1574141531885958
2024-02,11,136095,181074.0,1.3304970792461148
2024-03,64,795665,1030222.0,1.2947936631622605
2024-04,32,368935,506270.0,1.3722471438058195
2024-05,16,224805,293500.0,1.3055759435955605
2024-06,32,447855,583578.0,1.3030512107713434
2024-07,20,286900,381188.0,1.328644126873475
2024-08,28,325990,445617.0,1.3669652443326483
2024-09,37,408306,567657.0,1.390273471367063
2024-10,37,461204,614090.0,1.3314932220882734
2024-11,44,616648,661951.0,1.0734665481765935
2024-12,19,249448,259220.0,1.0391744972900163
2025-09,1,9749,12180.0,1.2493589086060108
2025-10,1,8249,7390.0,0.8958661655958298
2026-01,1,16499,2913.0,0.1765561549184799
